,school,region,start_median_salary,mid_median_salary,mid_per_10,mid_per_25,mid_per_75,mid_per_90,school_type
108,University of Wisconsin (UW) - Platteville,Midwestern,45800.0,78500.0,48400.0,61200.0,100000.0,139000.0,State
109,Wittenberg University,Midwestern,39200.0,78200.0,,54100.0,131000.0,,Liberal Arts
110,North Dakota State University (NDSU),Midwestern,45100.0,77800.0,39000.0,55800.0,100000.0,123000.0,State
111,Grinnell College,Midwestern,42600.0,76600.0,,65100.0,116000.0,,Liberal Arts
112,Wayne State University,Midwestern,42800.0,76100.0,40100.0,56200.0,101000.0,139000.0,State
113,University of Toledo,Midwestern,43100.0,75900.0,40100.0,54100.0,100000.0,133000.0,State
114,University of Wisconsin (UW) - Whitewater,Midwestern,40800.0,75500.0,38200.0,53500.0,99300.0,150000.0,State
115,Minnesota State University - Mankato,Midwestern,43300.0,74700.0,39500.0,53800.0,95700.0,140000.0,State
116,University of Wisconsin (UW) - Milwaukee,Midwestern,42300.0,74600.0,40600.0,54000.0,93700.0,123000.0,State
117,Western Michigan University (WMU),Midwestern,42300.0,73800.0,40100.0,52500.0,103000.0,135000.0,State
118,South Dakota State University (SDSU),Midwestern,41100.0,73500.0,34100.0,49900.0,99400.0,129000.0,State
119,Ohio University,Midwestern,42200.0,73400.0,36600.0,52800.0,106000.0,150000.0,Party
120,Ohio University,Midwestern,42200.0,73400.0,36600.0,52800.0,106000.0,150000.0,State
121,Illinois State University,Midwestern,42000.0,73400.0,39100.0,55200.0,105000.0,142000.0,State
122,Cleveland State University,Midwestern,43500.0,73100.0,39500.0,51600.0,97000.0,137000.0,State
123,University of Nebraska at Omaha,Midwestern,41500.0,72600.0,39500.0,54400.0,97400.0,126000.0,State
124,Southern Illinois University Carbondale,Midwestern,43000.0,72500.0,38300.0,51300.0,99300.0,139000.0,State
125,Eastern Michigan University,Midwestern,40300.0,72100.0,37900.0,52800.0,95400.0,135000.0,State
126,Bowling Green State University,Midwestern,39800.0,72100.0,38200.0,51800.0,101000.0,146000.0,State
127,St. Cloud State University,Midwestern,41800.0,71400.0,38700.0,49400.0,101000.0,126000.0,State
128,University of Wisconsin (UW) - Parkside,Midwestern,40700.0,71400.0,40900.0,53100.0,84900.0,119000.0,State
129,University of Akron,Midwestern,41100.0,70300.0,40600.0,53300.0,95200.0,127000.0,State
130,Missouri State University (MSU),Midwestern,36100.0,69500.0,33300.0,46900.0,102000.0,134000.0,State
131,University of Wisconsin (UW) - La Crosse,Midwestern,42200.0,69300.0,37500.0,47200.0,93100.0,133000.0,State
132,University of Wisconsin (UW) - Stout,Midwestern,43600.0,68300.0,40900.0,50600.0,91600.0,136000.0,State
133,Robert Morris College (RMC),Midwestern,38500.0,68200.0,37300.0,47100.0,95000.0,128000.0,
134,University of Missouri - St. Louis (UMSL),Midwestern,41400.0,67100.0,36800.0,49600.0,97600.0,144000.0,State
135,University of Wisconsin (UW) - Oshkosh,Midwestern,39300.0,66400.0,37700.0,49700.0,90100.0,138000.0,State
136,University of Missouri - Kansas City (UMKC),Midwestern,38900.0,65800.0,36300.0,48100.0,95800.0,124000.0,State
137,University of Wisconsin (UW) - Eau Claire,Midwestern,41400.0,64800.0,35000.0,47300.0,93100.0,125000.0,State
138,Ball State University (BSU),Midwestern,39100.0,64500.0,35500.0,48200.0,89300.0,128000.0,State
139,Park University,Midwestern,44300.0,64300.0,37200.0,45600.0,86400.0,113000.0,
140,University of Wisconsin (UW) - Stevens Point,Midwestern,39800.0,64000.0,38400.0,45100.0,95400.0,128000.0,State
141,Kent State University,Midwestern,38700.0,62600.0,36100.0,45800.0,87000.0,124000.0,State
142,University of Wisconsin (UW) - Green Bay,Midwestern,35800.0,60600.0,35500.0,46800.0,81800.0,102000.0,State
143,Indiana Wesleyan University (IWU),Midwestern,39800.0,58500.0,39600.0,47800.0,78600.0,93400.0,
144,Pittsburg State University,Midwestern,40400.0,58200.0,25600.0,46000.0,84600.0,117000.0,State
145,Davenport University,Midwestern,39700.0,46600.0,31600.0,38100.0,65600.0,85700.0,
146,Black Hills State University,Midwestern,35300.0,43900.0,,32200.0,60900.0,,State
147,Rice University,Southern,64000.0,110000.0,55900.0,82100.0,141000.0,216000.0,
148,Georgetown University,Southern,55000.0,110000.0,60300.0,85800.0,174000.0,248000.0,
149,Duke University,Southern,58900.0,106000.0,56000.0,77400.0,149000.0,218000.0,
150,Georgia Institute of Technology,Southern,58300.0,106000.0,67200.0,85200.0,137000.0,183000.0,Engineering
151,Washington and Lee University,Southern,53600.0,104000.0,,82800.0,146000.0,,Liberal Arts
